Powder Material,Power (W),Travel Velocity (mm/s),Melt Pool Depth (mm),Melt Pool Width (mm),Melt Pool Length (mm),beamD (mm),Fe (%),Ni (%),Cr (%),Co (%),Al (%),Ti (%),Mo (%),C (%),Mn (%),Si (%),Cu (%),Nb (%),W (%),V (%),Mg (%),Zn (%),Y (%),Nd (%)
IN625,160.0,2800.0,0.04,0.092,0.5244,50.0,0,58,22,0,0,0,9.0,0.0,0.0,0,5,0,0,0,0,0,0,0
IN625,160.0,2800.0,0.04,0.0915,0.52155,50.0,0,58,22,0,0,0,9.0,0.0,0.0,0,5,0,0,0,0,0,0,0
IN625,160.0,2800.0,0.04,0.09151999999999999,0.521664,50.0,0,58,22,0,0,0,9.0,0.0,0.0,0,5,0,0,0,0,0,0,0
IN625,160.0,2800.0,0.04,0.0925,0.52725,50.0,0,58,22,0,0,0,9.0,0.0,0.0,0,5,0,0,0,0,0,0,0
IN625,160.0,2800.0,0.04,0.093,0.5301,50.0,0,58,22,0,0,0,9.0,0.0,0.0,0,5,0,0,0,0,0,0,0
IN625,225.0,1940.0,0.06,0.1325,0.75525,50.0,0,58,22,0,0,0,9.0,0.0,0.0,0,5,0,0,0,0,0,0,0
IN625,225.0,1940.0,0.06,0.133,0.7581,50.0,0,58,22,0,0,0,9.0,0.0,0.0,0,5,0,0,0,0,0,0,0
IN625,225.0,1940.0,0.06,0.132,0.7524,50.0,0,58,22,0,0,0,9.0,0.0,0.0,0,5,0,0,0,0,0,0,0
IN625,350.0,1680.0,0.08,0.1735,0.9369,50.0,0,58,22,0,0,0,9.0,0.0,0.0,0,5,0,0,0,0,0,0,0
IN625,350.0,1680.0,0.08,0.173,0.9342,50.0,0,58,22,0,0,0,9.0,0.0,0.0,0,5,0,0,0,0,0,0,0
IN625,350.0,1680.0,0.08,0.174,0.9396,50.0,0,58,22,0,0,0,9.0,0.0,0.0,0,5,0,0,0,0,0,0,0
IN625,350.0,1680.0,0.08,0.17424,0.940896,50.0,0,58,22,0,0,0,9.0,0.0,0.0,0,5,0,0,0,0,0,0,0
IN625,350.0,1680.0,0.08,0.1725,0.9315,50.0,0,58,22,0,0,0,9.0,0.0,0.0,0,5,0,0,0,0,0,0,0
IN625,350.0,1180.0,0.098,0.194,0.97,50.0,0,58,22,0,0,0,9.0,0.0,0.0,0,5,0,0,0,0,0,0,0
IN625,350.0,1180.0,0.098,0.1935,0.9675,50.0,0,58,22,0,0,0,9.0,0.0,0.0,0,5,0,0,0,0,0,0,0
IN625,350.0,1180.0,0.098,0.1936,0.968,50.0,0,58,22,0,0,0,9.0,0.0,0.0,0,5,0,0,0,0,0,0,0
IN625,350.0,1180.0,0.098,0.195,0.975,50.0,0,58,22,0,0,0,9.0,0.0,0.0,0,5,0,0,0,0,0,0,0
IN625,345.0,1060.0,0.1,0.2145,0.96525,50.0,0,58,22,0,0,0,9.0,0.0,0.0,0,5,0,0,0,0,0,0,0
IN625,345.0,1060.0,0.1,0.214,0.963,50.0,0,58,22,0,0,0,9.0,0.0,0.0,0,5,0,0,0,0,0,0,0
IN625,345.0,1060.0,0.1,0.21472,0.96624,50.0,0,58,22,0,0,0,9.0,0.0,0.0,0,5,0,0,0,0,0,0,0
IN625,345.0,1060.0,0.1,0.215,0.9675,50.0,0,58,22,0,0,0,9.0,0.0,0.0,0,5,0,0,0,0,0,0,0
IN625,345.0,1060.0,0.1,0.213,0.9585,50.0,0,58,22,0,0,0,9.0,0.0,0.0,0,5,0,0,0,0,0,0,0
IN625,350.0,800.0,0.12,0.2345,0.91455,50.0,0,58,22,0,0,0,9.0,0.0,0.0,0,5,0,0,0,0,0,0,0
IN625,350.0,800.0,0.12,0.235,0.9165,50.0,0,58,22,0,0,0,9.0,0.0,0.0,0,5,0,0,0,0,0,0,0
IN625,350.0,800.0,0.12,0.234,0.9126000000000001,50.0,0,58,22,0,0,0,9.0,0.0,0.0,0,5,0,0,0,0,0,0,0
IN625,350.0,800.0,0.12,0.23408,0.9129120000000001,50.0,0,58,22,0,0,0,9.0,0.0,0.0,0,5,0,0,0,0,0,0,0
IN625,340.0,560.0,0.14,0.2755,0.9367000000000001,50.0,0,58,22,0,0,0,9.0,0.0,0.0,0,5,0,0,0,0,0,0,0
IN625,340.0,560.0,0.14,0.276,0.9384,50.0,0,58,22,0,0,0,9.0,0.0,0.0,0,5,0,0,0,0,0,0,0
IN625,340.0,560.0,0.14,0.27632,0.9394880000000001,50.0,0,58,22,0,0,0,9.0,0.0,0.0,0,5,0,0,0,0,0,0,0
TiC/Inconel 718,75.0,100.0,0.028,0.035,0.05,70.0,0,52,19,0,0,0,3.0,0.0,0.0,0,5,0,0,0,0,0,0,21
TiC/Inconel 718,100.0,100.0,0.053,0.08,0.09,70.0,0,52,19,0,0,0,3.0,0.0,0.0,0,5,0,0,0,0,0,0,21
TiC/Inconel 718,125.0,100.0,0.068,0.11,0.12,70.0,0,52,19,0,0,0,3.0,0.0,0.0,0,5,0,0,0,0,0,0,21
TiC/Inconel 718,150.0,100.0,0.086,0.212,0.217,70.0,0,52,19,0,0,0,3.0,0.0,0.0,0,5,0,0,0,0,0,0,21
TiC/Inconel 718,125.0,50.0,0.092,0.215,0.24,70.0,0,52,19,0,0,0,3.0,0.0,0.0,0,5,0,0,0,0,0,0,21
